Date,Value,Type
08/05/2023,3,CO
08/06/2023,5,CO
08/07/2023,2,CO
08/08/2023,3,CO
08/09/2023,5,CO
08/10/2023,3,CO
08/11/2023,3,CO
08/12/2023,3,CO
08/13/2023,3,CO
08/14/2023,3,CO
08/15/2023,3,CO
08/16/2023,3,CO
08/17/2023,7,CO
08/18/2023,6,CO
08/19/2023,8,CO
08/20/2023,6,CO
08/21/2023,10,CO
08/22/2023,6,CO
08/23/2023,8,CO
08/24/2023,6,CO
08/25/2023,7,CO
08/26/2023,7,CO
08/27/2023,7,CO
08/28/2023,3,CO
08/29/2023,3,CO
08/30/2023,3,CO
08/31/2023,5,CO
09/01/2023,3,CO
09/02/2023,5,CO
09/03/2023,8,CO
09/04/2023,9,CO
09/05/2023,8,CO
09/06/2023,8,CO
09/07/2023,6,CO
09/08/2023,7,CO
09/09/2023,8,CO
09/10/2023,3,CO
09/11/2023,5,CO
09/12/2023,3,CO
09/13/2023,5,CO
09/14/2023,6,CO
09/15/2023,6,CO
09/16/2023,3,CO
09/17/2023,5,CO
09/18/2023,6,CO
09/19/2023,8,CO
09/20/2023,8,CO
09/21/2023,6,CO
09/22/2023,6,CO
09/23/2023,9,CO
09/24/2023,7,CO
09/25/2023,9,CO
09/26/2023,7,CO
09/27/2023,3,CO
09/28/2023,3,CO
09/29/2023,7,CO
09/30/2023,9,CO
10/01/2023,8,CO
10/02/2023,8,CO
10/03/2023,7,CO
10/04/2023,8,CO
10/05/2023,8,CO
10/06/2023,5,CO
10/07/2023,2,CO
10/08/2023,5,CO
10/09/2023,7,CO
10/10/2023,6,CO
10/11/2023,7,CO
10/12/2023,3,CO
10/13/2023,2,CO
10/14/2023,2,CO
10/15/2023,2,CO
10/16/2023,2,CO
10/17/2023,5,CO
10/18/2023,8,CO
10/19/2023,7,CO
10/20/2023,5,CO
10/21/2023,5,CO
10/22/2023,5,CO
10/23/2023,7,CO
10/24/2023,7,CO
10/25/2023,8,CO
10/26/2023,8,CO
10/27/2023,7,CO
10/28/2023,9,CO
10/29/2023,11,CO
10/30/2023,9,CO
10/31/2023,2,CO
11/01/2023,3,CO
11/02/2023,7,CO
11/03/2023,9,CO
11/04/2023,10,CO
11/05/2023,11,CO
11/06/2023,9,CO
11/07/2023,9,CO
11/08/2023,8,CO
11/09/2023,6,CO
11/10/2023,7,CO
11/11/2023,3,CO
11/12/2023,3,CO
11/13/2023,8,CO
11/14/2023,11,CO
11/15/2023,2,CO
11/16/2023,3,CO
11/17/2023,3,CO
11/18/2023,6,CO
11/19/2023,3,CO
11/20/2023,2,CO
11/21/2023,2,CO
11/22/2023,3,CO
11/23/2023,6,CO
11/24/2023,8,CO
11/25/2023,11,CO
11/26/2023,2,CO
11/27/2023,2,CO
11/28/2023,3,CO
11/29/2023,6,CO
11/30/2023,11,CO
12/01/2023,3,CO
12/02/2023,5,CO
12/03/2023,6,CO
12/04/2023,8,CO
12/05/2023,5,CO
12/06/2023,3,CO
12/07/2023,6,CO
12/08/2023,13,CO
12/09/2023,5,CO
12/10/2023,5,CO
12/11/2023,5,CO
12/12/2023,8,CO
12/13/2023,13,CO
12/14/2023,13,CO
12/15/2023,7,CO
12/16/2023,11,CO
12/17/2023,2,CO
12/18/2023,2,CO
12/19/2023,5,CO
12/20/2023,8,CO
12/21/2023,11,CO
12/22/2023,11,CO
12/23/2023,14,CO
12/24/2023,11,CO
12/25/2023,2,CO
12/26/2023,3,CO
12/27/2023,3,CO
12/28/2023,3,CO
12/29/2023,2,CO
12/30/2023,3,CO
12/31/2023,6,CO
01/01/2023,14,PM10
01/02/2023,17,PM10
01/03/2023,13,PM10
01/04/2023,11,PM10
01/05/2023,10,PM10
01/06/2023,7,PM10
01/07/2023,18,PM10
01/08/2023,17,PM10
01/09/2023,14,PM10
01/10/2023,14,PM10
01/11/2023,17,PM10
01/12/2023,15,PM10
01/13/2023,6,PM10
01/14/2023,6,PM10
01/15/2023,8,PM10
01/16/2023,17,PM10
01/17/2023,12,PM10
01/18/2023,14,PM10
01/19/2023,17,PM10
01/20/2023,8,PM10
01/21/2023,9,PM10
01/22/2023,6,PM10
01/23/2023,7,PM10
01/24/2023,12,PM10
01/25/2023,6,PM10
01/26/2023,7,PM10
01/27/2023,8,PM10
01/28/2023,12,PM10
01/29/2023,15,PM10
01/30/2023,12,PM10
01/31/2023,18,PM10
02/01/2023,7,PM10
02/02/2023,6,PM10
02/03/2023,9,PM10
02/04/2023,10,PM10
02/05/2023,11,PM10
02/06/2023,13,PM10
02/07/2023,19,PM10
02/08/2023,26,PM10
02/09/2023,17,PM10
02/10/2023,8,PM10
02/11/2023,7,PM10
02/12/2023,4,PM10
02/13/2023,8,PM10
02/14/2023,13,PM10
